university,role,title,notes
Arizona State University,Staff,Data Analysis Specialist,
Arizona State University,Staff,"Data Analysis Specialist, Library Analytics",
Arizona State University,Staff,Data Science Specialist,
Arizona State University,Librarian,Digital Humanities Data Analyst,
Arizona State University,Librarian,"Director of Maps, Imagery, and Geospatial Services",
Arizona State University,Librarian,"Director, Data Science and Analytics, Information and Competition Lab",
Brandeis University,Librarian,Data Analysis Specialist,
Brandeis University,Librarian,Data Analysis Specialist for Science,
Brown University,Librarian,Head of GIS and Data Services,
Brown University,Librarian,Social Science Data Librarian,
California Institute of Technology,Staff,Research Data Specialist,
Carnegie Mellon University,Other,CLIR Postdoctoral Fellow in Community Data Literacy,
Carnegie Mellon University,Librarian,Data Education Librarian,
Carnegie Mellon University,Staff,Digitization Projects Manager | Data Deposit Coordinator,
Carnegie Mellon University,Librarian,GIS and Spatial Data Librarian,
Carnegie Mellon University,Librarian,Research Data Services Librarian,
Carnegie Mellon University,Staff,RIMS Data Analyst,
Case Western Reserve University,Staff,Research Data and GIS Specialist,
Columbia University,Staff,"Assessment Program, Sr. Data Analyst",
Columbia University,Librarian,"Head, Research Data Services",
Columbia University,Librarian,Research Data Librarian,
Columbia University,Librarian,Research Support & Data Services Librarian,
Cornell University,Librarian,Associate University Librarian for Information Technology and Open Scholarship,
Cornell University,Librarian,Director of Digital Scholarship Services,
Cornell University,Librarian,"Director, Research Data and Open Scholarship",
Cornell University,Librarian,Emerging Data Practices Librarian,
Cornell University,Librarian,Research Data and Life Sciences Librarian,
Cornell University,Librarian,Research Data Librarian,
Cornell University,Librarian,Statistics and Data Science,
Dartmouth College,Staff,Acquisitions Data Specialist,
Dartmouth College,Librarian,Head of Research Data Services,
Dartmouth College,Librarian,Research Data Science Specialist,
Dartmouth College,Librarian,Research Data Science Specialist,
Duke University,Librarian,Data Science Librarian,
Duke University,Librarian,Data Services Librarian for the Social Sciences and GIS Specialist,
Duke University,Staff,Data Visualization Analyst,
Duke University,Staff,Data Visualization Analyst,
Duke University,Staff,"Director, Center for Data and Visualization Sciences",
Duke University,Staff,Map and Geospatial Data Specialist,
Duke University,Staff,Research Data Management Consultant,
Duke University,Staff,Senior Research Data Management Consultant,
Duke University,Staff,Senior Research Data Management Consultant,
Emory University,Librarian,Geospatial Data Librarian,
Emory University,Librarian,"Numeric Data Services Leader, Emory Center for Digital Scholarship",
Emory University,Librarian,Research Data Program Manager,
George Washington University,Librarian,Data Services Librarian,
George Washington University,Librarian,Data Services Librarian,
George Washington University,Staff,OSPO Software Developer and Open Source Evangelist,
George Washington University,Staff,Senior Software Developer,
Georgia Tech,Staff,Research Scientist in Data Analytics,
Harvard University,Librarian,"Assistant Director, Open Scholarship & Data Services Librarian",
Harvard University,Staff,"Associate Director, Publishing & Data Services",
Harvard University,Staff,"Data Engineer, DRS Futures",
Harvard University,Librarian,Data Reference Librarian,
Harvard University,Librarian,Data Services Librarian for the Sciences,
Harvard University,Staff,Data Visualization and Graphics Editor,
Harvard University,Librarian,GIS and Data Librarian,
Harvard University,Librarian,"GIS, Data and Research Librarian",
Harvard University,Librarian,Manager of Research and Data Services,
